name,wgt_avg,overall_score,style_score,abv,est_cal,beer_desc,ibu,mean
Anchorage Bitter Monk Belgian Style Double IPA,3.99,100,99,9%,270,"
        Double IPA aged in French oak Chardonnay barrels with Brett. Deep within the tortured aberrations of a monk’s mind there lay a concept of a Holy Grail of beer -- a beer oft imagined but never tasted, strived for but never achieved. It’s Belgian heritage manifested in its yeasty complexity, softened and rounded in its cooperage Français and made to sparkle like the stars first seen by his distant predecessor Dom Pérignon.
Bitter Monk Belgian Double IPA is such a beer. Redolent of citrusy hop bittering and massive malt infusion, this is a beer to ponder, to sip, and, even for a monk, to dream. Why then is the monk so bitter? What provokes that sly smile? What is he wearing under that flowing robe? A triple-fermented beer gives him three times the mystery. Remember, anything worth doing is worth over doing. Nothing exceeds like excess. Even for the cloistered.
And what rough monk, his hour come round at last, slinks slowly toward Brussels to be reborn.
      ",100,DNE
Anchorage Darkest Hour Imperial Stout (2014-),3.98,100,95,13%,390,"
        This years batch is totally new recipe using regular ale yeast and several high end whiskey barrels for aging.
      ",40,DNE
Anchorage Love Buzz Saison,3.98,100,100,8%,240,"
        Saison brewed with spices and aged in French oak Pinot Noir barrels.
      ",40,DNE
Midnight Sun Monk’s Mistress,3.93,99,100,11.5%,345,"
        The inspiration for this beer’s name—previously, La Maitresse du Moine—is the beer itself. Its deep, intense flavors inspired the concept of a monk that seeks solace and satisfaction from the sensory pleasure and mind-provoking effects of this liquid temptress.
",13,DNE
Midnight Sun Moscow,3.89,99,90,11%,330,"
        Alaska’s Most Wanted Series.",45,DNE
Alaskan Smoked Porter,3.88,99,100,6.5%,195,"
        The dark, robust body and pronounced smoky flavor of this limited edition beer make it an adventuresome taste experience. Alaskan Smoked Porter is produced in limited ""vintages"" each year and, unlike most beers, may be aged in the bottle, much like fine wine.
      ",45,DNE
Anchorage Mosaic Saison,3.87,99,99,6.5%,195,"
        Ale with brettanomyces aged in fermented in oak tanks.
      ",30,DNE
Anchorage The Tide and Its Takers Triple,3.86,99,100,9%,270,"
        Brewed with Sorachi Ace and Styrian Golding Hops. Aged in French Oak Chardonnay barrels with brettanomyces. Triple Fermented. 
      ",30,DNE
Midnight Sun T.R.E.A.T. Imperial Chocolate Pumpkin Porter,3.85,99,100,7.8%,234,"
        Intriguing doses of sweet spices, cocoa nibs and pumpkin transform an exceptional porter into a mesmerizing potion. Pour this tantalizing brew into a snifter and experience its many eccentric nuances, which will delight your taste buds.
",30,DNE
Alaskan Pilot Series: Barley Wine Ale,3.82,99,96,10.7%,321,"
        Alaskan Barley Wine has been produced in limited edition vintages each year since its introduction in 2003. A big beer for big winters, this brew has garnered a steady following in Alaska. Bottled for the first time in 2007, the balanced flavor collaboration between hops, malt and high alcohol showcases the barley wine style, winning first place at the 2007 Toronado Barley Wine Festival and bronze at the 2008 World Beer Cup. 
      ",50,DNE
Anchorage / Jolly Pumpkin Calabaza Boreal ,3.82,99,98,7%,210,"
        ",40,DNE
Anchorage Galaxy White IPA,3.82,99,99,7%,210,"
        Ale brewed with Galaxy hops, coriander, kumquats, and peppercorns. Fermented and aged in French oak foudres with a wit yeast. Dry hopped with Galaxy hops. Bottle conditioned with brettanomyces and wine yeast. Drink fresh or age to bring out the funk.
      ",50,DNE
Midnight Sun Monk’s Mistress (Bourbon),3.8,98,98,11%,330,"
        Spending seven months in an oak bourbon barrel beautifully develops this dark strong ale’s complexity.  Dark chocolate and hints of wood in the nose introduce a palate of bourbon and sweet raisins.  At 11% abv, Oak-Aged Monk’s Mistress delivers untamed strength in character and purpose. 
      ",DNE,DNE
Midnight Sun 2009 Crew Brews: Brewtality,3.78,98,95,9.7%,291,"
        ""Combining jet black color with incredibly smooth texture and decadent coffee flavor, BREWTALITY breaks the expectations of both rich espresso and dark beer to create a whole ’nuther beast. While brutal in alcoholic strength, this biggie beautifully showcases its roasted malt and coffee flavors without bringing on bitterness and bite. This is the first of two lagers in the series.""

",17,DNE
Midnight Sun 2014 Alaskana Series: Termination Dust,3.78,98,94,13%,390,"
        Belgian barley wine ale aged in High West bourbon barrels
      ",70,DNE
Midnight Sun XXX Black Double IPA,3.77,98,97,8.5%,255,"
        Originally brewed in 2009 to celebrate Specialty Imports’ 30th Anniversary, XXX Black Double IPA is now produced each winter. XXX offers bold, American hop character — comfortably cloaked in dark, luxurious malt. This exciting “winter warmer” will take the chill right out of your bones. Curl up with this session-beer-meets-nightcap.
",87,DNE
Anchorage The Experiment,3.76,98,89,7%,210,"
        Belgian sour White
      ",20,3.95/5.0
Anchorage Whiteout Wit Bier,3.75,97,100,6.5%,195,"
        This is a variation on the classic Belgian Witbier style, but aged in French Oak Chardonnay barrels",20,DNE
Anchorage Anadromous Belgian Black Bier ,3.73,97,87,8.5%,255,"
        Ale brewed with summit hops. Triple fermented. First in French Oak Foudres, second in pinot noir and whiskey barrels with brett and other critters. Finally in the bottle for natural carbonation.
      ",30,DNE
Superstition Berry White,4.34,100,100,13.5%,405,"
        Mead with raspberries and white chocolate.
      ",DNE,DNE
Superstition Blue Berry White ,4.37,100,100,13.5%,405,"
        Mead made with blueberries and white chocolate. Batch # 1801. 100 bottles. 
      ",DNE,DNE
Superstition Endovelicus,4.31,100,100,13%,390,"
        Mead made with Arizona Mesquite Honey and Raspberry Juice, aged in a Sandeman’s Tawny Port Barrel.
      ",DNE,4.46/5.0
Superstition Straw Berry White,4.4,100,100,13.5%,405,"
        An American oak barrel aged dessert mead made with strawberry juice and white chocolate. 
      ",DNE,DNE
Dragoon Lazarus,4.25,100,100,13.25%,398,"
        Lazarus is the biggest, most complex beer we’ve ever produced. It began life as an American Barleywine, and was then aged with Brettanomyces in Downslope Disttiling barrels for 13 months. The result is a soft, complex, toasty and slightly chocolatey delight, with just a hint of alcohol warmth. ",84,4.54/5.0
Superstition Aphrodisia Pyment - Cabernet ,4.17,100,99,14%,420,DNE,DNE,4.39/5.0
Superstition Framboesa Atando,4.21,100,99,12%,360,"
        Mead made with Arizona Mesquite Honey, Raspberry Juice and Belgian Dark Candi Sugar 
      ",DNE,4.36/5.0
Superstition Grand Cru Berry,4.23,100,99,13.5%,405,"
        A blend of equal parts Berry White, Blue Berry White, Straw Berry White & Black Berry White. 
      ",DNE,4.37/5.0
Superstition Black Berry White,4.16,100,99,13.5%,405,"
        American oak barrel aged dessert mead made with black berry juice and white chocolate. 
      ",DNE,4.28/5.0
Superstition Peanut Butter Jelly Crime,4.15,100,99,13%,390,"
        Mead aged on peanuts and blueberry juice, which tastes amazingly like peanut butter and jelly. 
      ",DNE,4.5/5.0
Sun Up White Russian Imperial Stout ,4.08,100,98,9.3%,279,"
        Thick dark brown in color- this Imperial Russian Stout is infused with white Russian coffee.
      ",DNE,DNE
Arizona Wilderness American Presidential Stout,4.03,100,97,11%,330,"
        Russian Imperial Stout made with smoked jalapeños from McClendon Select and smoked over Arizona mesquite wood, all aged on cocoa nibs (Papa New Guinea and Belize).

Well, well. What sits in front of you, this thick, monstrous, viscous … this is the Russian Imperial Stout. This is the crème de la crème of the beer world. The empress of Russia couldn’t get enough of it. This being the US of freaking A makes this the free world’s style, thus, the American Presidential nomenclature. Catherine the Great would have sat in the Hermitage and asked why jalapeños smoked over Arizona mesquite were used. We say this to CTG: This is ’Merica and this is Wilderness. This is OUR stout. Enjoy — we poured our hearts and souls into this one!
      ",DNE,DNE
Arizona Wilderness DC Mountain Double IPA,4.04,100,99,8.5%,255,"
        Many of you craft beer aficionados began your beer-drinking lives with yellow swill out of horse troughs and gas stations. Then, in a moment of serendipity, a certain beer graced your palate and changed your destiny of taste. If this Double IPA was given too early, the tongue of the inexperienced beer drink may shrivel up and die in the desert of hops. Not you though; you have reached your beernucopia and can appreciate massive amounts of expensive hops. Let’s see … Centennial, Chinook, Columbus, Citra, Cascade (whole cone), and Galaxy hops joined the party. A blend of malts that unifies this ale into a pint of pine, dank, citrus, mango, and pleasure. Enjoy, good person, you are a craft beer lover.",DNE,DNE
Arizona Wilderness Picacho Pecan Pie Brown Ale,4.04,100,100,6.6%,198,"
        Our brown ale brewed with whole pecan pies and dry hopped with local Arizona pecans and real vanilla beans. 
      ",DNE,4.2/5.0
Superstition Super Bee,4.01,100,99,11%,330,"
        Trojniak style mead is a classic polish beverage. Made with honey from a small local producer: Bee Dudes. Made with pure ironwood honey
      ",DNE,4.27/5.0
Superstition Marion Mead - Still,3.99,100,99,13.5%,405,"
        Honey Wine (85%) fermented with Marion Berries (5%), Raspberries (5%) and Blueberries (5%).
      ",DNE,DNE
Superstition Aphrodisia Pyment - Cabernet/Pinot Noir/Syrah,3.98,100,98,13%,390,"
        This batch of Aphrodisia (red wine grape pyment) was made by blending 3 sixty gallon New American Oak barrels of Aphrodisia equally, including the ingredients of Arizona Mesquite honey, Arizona Wildflower honey, and 3 California wine grape varietals (Cabernet, Pinot Noir & Syrah). Aphrodisia Batch 0611 on the Bottle.
      ",DNE,4.08/5.0
Superstition Aphrodisia Pyment - Cabernet/Syrah,3.98,100,98,14%,420,DNE,DNE,4.08/5.0
Superstition Aphrodisia Pyment - Syrah/Grenache,3.98,100,98,14%,420,DNE,DNE,4.22/5.0
Superstition Date Night,3.97,100,98,13%,390,"
        Safe Word with coffee and Medjool dates, aged in oak. 
      ",DNE,4.12/5.0
Superstition Fruit of Venus,3.96,100,98,14%,420,"
        Peach & apricot mead aged on Madagascar Bourbon vanilla beans and toasted oak barrel staves. 
      ",DNE,4.28/5.0
Superstition Marion Mead - Sparkling,3.96,99,98,13.5%,405,"
        Sparkling mead made with marionberries, raspberries, and blueberries
      ",DNE,4.07/5.0
Four Peaks Double Knot,3.93,99,98,9.2%,276,"
        Why Double Knot for a name?  Well, it’s essentially a double Hop Knot.  Now does that mean we just went and doubled the alcohol content?  No, but close; Hop Knot is around 6% and Double Knot is around 9.2%.  So, did we double the hops?  Well, yes!  We did!  Hop Knot uses around 3.5 lbs per barrel and Double Knot is around 7.5 lbs per barrel (Okay, a little more than double, don’t sue us).  That’s really the main difference between the two; slightly higher alcohol content and twice the hops. But what a difference if you’re a true hop-head.
      ",DNE,4.04/5.0
Thunder Canyon Warhead Stout,3.93,99,93,12%,360,"
        Winner of the BRONZE award in the Imperial Stout Category at the 2000 World Beer Cup International Beer Competition. Russian Imperial Stouts were originally brewed for export to the Royal Court of Russia where they were enjoyed by Catherine the Great. Ours has a rich intense maltiness with black currant, toffee and dark roasted malt flavors. The higher alcohol content is sure to warm you up from the inside out.

      ",45,DNE
McFate Imperial Candy Bar Stout - Barrel Aged,3.89,,,9.5%,285,DNE,DNE,4.29/5.0
Ozark Bourbon Barrel Aged Double Cream Stout,3.78,98,77,10.2%,306,"
        Barrel Aged Double Cream Stout is a double cream stout aged in Kentucky bourbon barrels. The barrels themselves, and held the spirit for nearly 15 years. We got them wet, straight from the distillery, then filled them with the beer. Over the next 7 months, the beer aged in the barrels, taking on the elements of char, oak, vanilla and of course bourbon in the barrels.",72,DNE
Ozark American Pale Ale,3.59,93,96,4%,120,"
        Hard work, honest beer.",39,DNE
Vinos Rock Hopera Imperial IPA,3.48,92,47,9%,270,DNE,DNE,3.65/5.0
Ozark Onyx Coffee Stout,3.55,91,92,5.3%,159,"
        Cream stout base with Guatemalan French roasted coffee added. A collaboration with Onyx Coffee Labs.
      ",DNE,3.67/5.0
Core Oatmeal Stout,3.46,86,83,5.9%,177,"
        A nitrogenated draught-style ale that is creamy, malty and full-bodied. Available year-round. Our Stout is satisfyingly rich but not too heavy. Caramel and Black malts give the Stout its deep, dark color and pronounced roasted flavor.
      ",DNE,3.58/5.0
Moody Brews Half Seas Over Imperial IPA,3.39,86,42,8.5%,255,"
        Moody Brews offers you our maiden voyage brew, an Imperial Pale Ale. We added hops from both hemispheres to create a citrus, apricot, and tropical fruit aroma braced by a bready, toasty malt backbone. We believe good beer is best served with good company.
      ",80,3.89/5.0
Vinos Imperial Stout,3.32,84,19,8%,240,DNE,DNE,3.54/5.0
Lost Forty Pale Ale,3.34,72,70,5.4%,162,"
        A laid back, easy drinking, addictive pale ale. A toasty malt base gives way to big fresh hop hit - washing fruity, floral notes and spicy undertones all over your Pale Ale-loving palate. Arrives light on the palate and finishes dry.

Hops: Cascade, Crystal, Glacier
      ",40,3.46/5.0
Core Easy Livin’ IPA,3.32,70,48,4.8%,144,DNE,50,3.47/5.0
Core ESB,3.32,70,93,5.6%,168,"
        Uncle Kit’s personal favorite. This big beer is available year-round. The ESB is a rich, copper-colored ale with a balanced flavor profile featuring toasted malts, fresh hops and a pleasant finishing sweetness.
      ",DNE,3.38/5.0
Ozark Cream Stout,3.32,70,44,5.3%,159,"
        Full bodied + smooth. Notes of dark chocolate, coffee, and dried fruit. Contains lactose.
      ",DNE,3.51/5.0
Core Barney’s Imperial Red,3.31,69,24,9.5%,285,DNE,113,3.4/5.0
Vinos Pinnacle IPA,3.22,67,40,DNE,DNE,"
        A traditional India Pale Ale, light bodied, golden-amber in color with an intense hop aroma produced by dry-hopping during fermentation. A very tasty ale with little bitter aftertaste which makes it great on a hot day.
      ",DNE,DNE
Vinos Holidaze,3.13,62,68,7.5%,225,DNE,DNE,3.26/5.0
Diamond Bear Paradise Porter,3.26,60,44,6.2%,186,"
        ",38,DNE
Vinos Lazyboy Stout,3.17,59,42,DNE,DNE,"
        Medium-bodied dark ale with a rosasted flavor and a hint of chocolate. No bitter aftertaste.
      ",DNE,3.26/5.0
Diamond Bear Two Term Double IPA,3.21,52,12,9.9%,297,"
        This was a limited run that quickly gathered a cult following of depraved devotees. So much so that we had to start making it all year long. Big flavor. Makes other beers taste like tap water. Beer Geek Note: We started using Warrior hops in this brew in place of Chinook.
      ",90,DNE
Diamond Bear Strawberry Blonde,3.2,,,4.4%,132,"
        A light colored, crisp German lager infused with real strawberries. The nose gives you a bouquet of strawberry aroma, yet the taste is very subtle and sweet.  Look for it mid-Summer.  A crowd-pleaser in the Arkansas heat!
      ",20,3.31/5.0
Diamond Bear Dogtown Brown,3.16,50,87,5.8%,174,"
        Dogtown Brown is a tribute to North Little Rock.  Embrace what others throw at you – it’ll make you stronger.  So it is with our Brown –  taking a style more common to ales, we created  a Brown but done with a lighter, lager yeast.  With notes of malty chocolate, our Brown is something sweet, something smooth and mighty drinkable.
      ",25,3.22/5.0
Core Hilltop IPA,3.17,49,28,6.3%,189,"
        Our Hilltop IPA has quickly become a favorite here at Core Brewing co. Being known for BIG IPA’s we wanted to offer something a little more sessionalble. At 53 IBU’s and 6.3% ABV, this brew can be enjoyed year round by any craft beer lover. The complex hop profile features Horizon hops and is balanced with 4 premium American varities to display a full panorama of flavor and aroma. Hilltop IPA is a perfect friend while relaxing and taking in the view.
      ",53,3.25/5.0
Diamond Bear Presidential IPA,3.17,49,28,6.2%,186,"
        Rumor has it this beer is the favorite of a former U.S. President. An IPA with big hops bitterness bumping against three varieties of 2 row barley malt goodness. A fan favorite.
      ",57,DNE
Fossil Cove La Brea Brown,3.14,,,6%,180,"
        Hybrid Belgian Style with a rich chocolate maltiness complimented by a pleasant spice from the Belgian yeast and fresh coriander.
      ",18,3.23/5.0
Vinos Rainbow Wheat,3.09,48,76,DNE,DNE,"
        A classic Munich style Heffe-Weissbier, with a light slightly fruity flavor and an underlying sweetness.
      ",DNE,3.25/5.0
Vinos Octoberfest,3.04,,,DNE,DNE,DNE,DNE,3.23/5.0
Core Toasted Coconut Ale,3.13,46,48,6%,180,DNE,27,3.19/5.0
AleSmith Speedway Stout - Bourbon Barrel Aged: Vietnamese Coffee,4.28,100,100,12%,360,"
        Vietnamese Speedway stout aged in bourbon barrels.
      ",DNE,DNE
Russian River Pliny the Younger,4.35,100,100,11%,330,"
         Pliny the Younger was Pliny the Elder’s nephew, in the case of this beer, the ""Younger"" is a triple IPA. Pliny the Younger is hopped three times more than our standard IPA, and is dry hopped four different times.
      ",DNE,DNE
AleSmith Speedway Stout - Bourbon Barrel Aged,4.34,100,100,12%,360,"
        Special Markings: Gold foil neck and white numbering above rear label.  Some bottles have paper labels, some do not.",DNE,DNE
AleSmith Speedway Stout,4.29,100,100,12%,360,"
        Bottle conditioned.",70,DNE
Russian River Pliny the Elder,4.27,100,100,8%,240,"
         Pliny the Elder was a Roman naturalist, scholar, historian, traveler, officer, and writer. Although not considered his most important work, Pliny and his contemporaries created the botanical name for hops, ""lupus Salictarius"", meaning wolf among scrubs."" Hops at that time grew wild among willows, much like a wolf in the forest. Later the current botanical name, humulus Lupulus, was adopted. Pliny died in 79 AD while observing the eruption of Mount Vesuvius. He was immortalized by his nephew, Pliny the Younger, who continued his uncle’s legacy by documenting much of what he observed during the eruption of Mount Vesuvius. Pliny the Elder, the beer, is brewed with 40% more malt and over twice the amount of hops as compared to our already hoppy IPA.
      ",100,DNE
AleSmith Speedway Stout - Hawaiian,4.16,100,99,12%,360,"
        We often use Speedway Stout as a jet-black canvas for homages to things we hold dear, whether it’s artisan coffee, a favorite edible or sumptuous flavor combination. The most recent variation of our celebrated imperial stout honors the culinary character of the Hawaiian Islands by combining the lush sweetness of coconut with vanilla and Ka’u coffee. Named after the region of Hawaii from which it hails, Ka’u is produced from some of the world’s rarest coffee beans. Slow-grown beneficiaries of nutrient-rich volcanic soil and idyllic climate, Ka’u offers nuances of caramel and hazelnut plus a soft floral character, all of which marry seamlessly with natural sweetness from the vanilla and coconut as well as Speedway Stout’s inherently rich, chocolaty character. Say aloha to something truly exceptional and evocative of its namesake isles.
      ",DNE,DNE
AleSmith Speedway Stout - Velvet,4.18,100,99,12%,360,"
        12% aged in Evan Williams 23 year old barrels and blended with barrel aged Jamaica Blue Mountain cold brew from Mostra Coffee and a house made rye whiskey/vanilla bean concoction. 600 bottle release plus limited kegs.
",DNE,4.35/5.0
Alpine Beer Company Keene Idea,4.15,100,100,8.88%,266,"
        Toronado Pub in San Francisco is celebrating their 25th Anniversary this weekend and we brewed a special beer just for the blessed event. The pub with the notoriously rude bartenders set the bar for craft forward beer bars for two and a half decades, and they like us. So, to show we love them too, we brewed what could be considered “Double Nelson” and it’s called “Toronado 25th Anniversary Ale.” The beer came in at 8.88% abv and is clear, clean and shockingly floral. The Nelson Sauvin hops shine and the alcohol is so unnoticeable that it too could be considered dangerously delicious.

      ",DNE,DNE
AleSmith Speedway Stout - Brewer’s Blend: Vietnamese Coffee,4.18,100,99,12%,360,"
        A blend of Barrel Aged Speedway Stout and Speedway Stout brewed with Vietnamese Coffee and Lactose 
      ",DNE,DNE
AleSmith Speedway Stout - Vietnamese Coffee,4.21,100,99,12%,360,"
        Speedway Stout brewed with Vietnamese Coffee and no Lactose
      ",DNE,DNE
Lost Abbey Cable Car,4.17,100,100,7%,210,"
        You’ve made it to 547 Haight Street. This destination is more San Francisco than Rice A Roni, Chinatown, and Lombard Street combined. Welcome to Broadway for brewers everywhere. Everyone who is anyone has poured their kegs here. For the last 20 years, this place has launched careers, confirmed legacies, and since 1987 the only name you need to know is David Keene.

Take a seat. Tip Strong. Nod appreciatively and don’t ask stupid questions. Welcome to Big Daddy’s House known to most simply as ""The T-Room."" Here the bartenders are fluent in English, German, Flemish, French, Waloon and Czech. But they’re most known for their American Lip Service. Watch it. The lady with the jet black hair behind the bar eats idiots for lunch.

At 547 Haight Street, you won’t find any Cable Cars except for this one. But if you’re standing outside the Dutch Doors of the World Famous Toranado, you surely found the most interesting place in all San Francisco. Its’ about RESPECT. Dave you continue to have ours. Here’s to 20 more years of punishing livers everywhere.

Cheers

Gina, Jim, Tomme, Vince and the Brewers of Port Brewing
      ",DNE,DNE
Firestone Walker Parabola,4.22,100,100,14%,420,"
        Parabola has been a major component of past anniversary blends and is one of our most aggressive offerings. This beer features bold bourbon and tobacco aromas and a rich dark chocolate, charred oak flavor. Parabola is best enjoyed in moderation and is a perfect beer to pair with those chocolate dessert favs. ",82,DNE
