review_count,style_score,brewer,wgt_avg,beer_img,state,beer_rank,overall_score,beer_style,beer_name,abv,est_cal,mean,ibu,beer_desc
16,96,Melvin Brewing Company (Thai Me Up),3.32,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_254159.jpg",WYOMING,23,70,Golden Ale/Blond Ale,Melvin Killer Bees,5.5%,165,3.42/5.0,15,Honey Ale
11,86,Freedom’s Edge Brewing,3.3,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_186317.jpg",WYOMING,22,73,Spice/Herb/Vegetable,Freedom’s Edge High Noon Chili Pepper Ale,,30,3.43/5.0,,Light bodied ale brewed with a variety of peppers. Begins with a noticeable pepper presence and finishes with a spicy kick.
11,46,Black Tooth Brewing Company,3.3,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_136750.jpg",WYOMING,21,73,India Pale Ale (IPA),Black Tooth Indian Paintbrush Ale,6.2%,186,3.43/5.0,75,"Perhaps even more floral than the Wyoming State Flower it is named for, this copper colored ale imparts herbal, and citrus flavors, while maintaining the intense hop attributes of bitterness, flavor, and aroma that need be present in all great IPA’s. Widely recognized as the barometer for many beer enthusiasts, tell us what you think of our IPA."
16,49,Black Tooth Brewing Company,3.35,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_341682.jpg",WYOMING,20,73,India Pale Ale (IPA),Black Tooth Hot Streak IPA,,,3.44/5.0,183,
16,46,Wind River Brewing,3.28,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_34945.jpg",WYOMING,19,74,Sweet Stout,Wind River Strom Bomb Oatmeal Stout,,,3.49/5.0,225,"An Oatmeal Stout by style. This is a fairly large beer. Very dark in color.  This big malty beer is filled with complex flavors which include, caramel, toffee, coffee, and espresso flavors.  The addition of 150 pounds of oatmeal to this brew helps smooth out all those complex flavors creating a slightly creamy mouth feel. This beer is hopped just enough to balance out the high level of sweetness in this beer."
18,60,Bitter Creek Brewing Company,3.37,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_29522.jpg",WYOMING,18,81,Sweet Stout,Bitter Creek A Beer Named Bob,,,3.47/5.0,,"We’re not sure when Bob rolled into town.  He’s kind of gruff, sooty black...smells a bit roasted like his appearance.  He still has a sweet demeanor, but watch out – he packs a stout punch.  To say the least, Bob has a very complex character."
45,39,Wind River Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_34944.jpg",WYOMING,17,83,Imperial IPA,Wind River Wyoming Pale Ale (WPA),,,/,216,A hybrid Pale Ale as big as Wyoming! An extremely large does of hops makes this brew the hoppiest of them all. This beer is dry hopped which adds a copious amount of hop aroma and resinous sweetness to its beautiful malty body.
28,93,Black Tooth Brewing Company,3.44,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_140450.jpg",WYOMING,16,83,Brown Ale,Black Tooth Saddle Bronc Brown,4.8%,144,3.51/5.0,16,"Don’t get thrown by this one coming out of the tap handle!! While dark in color, this Brown ale has a remarkably light mouth feel making it a great beer any time of year. The malt profile showcases hints of caramel, roasted nuts and cocoa. Just like the Rodeo Announcer says…. “Let’s make him feel a little better on SATURDAY NIGHT!!”"
13,79,Melvin Brewing Company (Thai Me Up),3.44,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_393867.jpg",WYOMING,15,84,Session IPA,Melvin Clinic ISA,,,3.59/5.0,120,"Nurse, please. It hurts. This medicinal India Session Ale is perfect for drinking at work under your desk, on a deck under the sun in your skivvies, or chilling out on a chairlift. Let Melvin Clinic make it all better with this light, crisp, and fresh taste. Sometimes it’s good to ""Get slapped"", so it’s just a little bitter. How do you feel now?"
16,86,Altitude Chophouse and  Brewery,3.42,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_49551.jpg",WYOMING,14,84,American Pale Ale,Altitude High Plains Pale Ale,,,3.53/5.0,180,"An adaptation of the original British style, our Pale Ale reflects greater strength and more hops than its predecessors. This beer is for hop lovers."
20,84,Snake River Brewing Co.,3.54,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_104351.jpg",WYOMING,13,91,Saison,Snake River Danimal’s Farmhouse Saison,7%,210,3.65/5.0,,DFA is a Belgian Saison style ale spiced with grains of paradise and lemongrass. This unfiltered beer has a fruity flavor with a dry finish.  Thirty percent wheat malt adds to the body. The Danimal’s weighs in at 7% alcohol. This is signature brew of Dan Strevey.
152,90,Snake River Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_126838.jpg",WYOMING,12,93,India Pale Ale (IPA),Snake River Pako’s IPA,6.8%,204,/,60,"Named for Pako (say “PACO”) the dog (No wait, Pako’s not a dog!) This full flavored, fully hop-evident IPA will have the hopheads rejoicing. 6.8% ABV and 60+ IBUs with explosive hop aroma from a pungent Simcoe/columbus blend."
16,78,Melvin Brewing Company (Thai Me Up),3.64,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_335431.jpg",WYOMING,11,95,Imperial IPA,Melvin Drunken Master,,95,3.81/5.0,,
9,,Melvin Brewing Company (Thai Me Up),3.66,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_412831.jpg",WYOMING,10,95,India Pale Ale (IPA),Melvin Brosaic,5.8%,174,3.97/5.0,50,"A bitter, moderately strong American pale ale that uses its clean, supporting malt to showcase its hop character."
469,92,Snake River Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_2103.jpg",WYOMING,9,96,Foreign Stout,Snake River Zonker Stout,,,/,174,"A rich, well balanced Foreign style Stout with a generous amount of roasted barley. Complex hop sequencing creates superbly balanced flavor."
36,82,Snake River Brewing Co.,3.7,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_155451.jpg",WYOMING,8,97,Sour/Wild Ale,Snake River Le Serpent Cerise,8%,240,3.78/5.0,,"Cory’s endeavor into the realm of Flanders style sour ale. Extremely rare, inoculated with multiple souring organisms and laid down in French oak barrels for over one year, Le Serpent is an example of a Belgian sour brown at it’s finest. 2010 version used Washington State cherries."
31,83,Snake River Brewing Co.,3.71,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_117534.jpg",WYOMING,7,97,Sour/Wild Ale,Snake River Le Serpent,8%,240,3.8/5.0,,"Inspired by the Belgian sour ales of West Flanders, Le Serpent has a distinct sharp acidity & complexity. This beer is brewed only once a year and aged in French oak barrels. A mixed culture of “wild” organisms are used in fermentation making each batch truly unique."
71,99,Melvin Brewing Company (Thai Me Up),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_291975.jpg",WYOMING,6,97,American Pale Ale,Melvin Hubert MPA,6%,180,/,77,"Hubert? I’ve heard of him. A friend of a friend knows him. Apparently he’s awesome, but we’ve never met. Well. It’s about time you did. Most you connoisseurs would just call him an IPA, but we call him an MPA. The Melvin Pale Ale. A welcomed hand shake to your taste buds. Light, crisp, fresh and a little bitty bitter. Lets just say he won’t be that jerk that leaves you at the bar at 2am. He’s low in alcohol. What a nice guy... that Hubert."
87,99,Melvin Brewing Company (Thai Me Up),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_130123.jpg",WYOMING,5,98,India Pale Ale (IPA),Melvin IPA,7.5%,225,/,80,West Coast Style IPA with secret hops and a fresh blast of citrus.
31,95,Melvin Brewing Company (Thai Me Up),3.81,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_252707.jpg",WYOMING,4,98,Imperial IPA,Melvin Asterisk Double IPA,9.5%,285,3.91/5.0,88,"Take an India Pale Ale and feed it steroids, ergo the term Double IPA. Although open to the same interpretation as its sister styles, you should expect something robust, malty, alcoholic and with a hop profile that might rip your tongue out. The Imperial usage comes from Russian Imperial stout, a style of strong stout originally brewed in England for the Russian Imperial Court of the late 1700s; though Double IPA is often the preferred name. 

You can thank west coast American brewers for this somewhat reactionary style. ""Thanks!"""
16,97,Melvin Brewing Company (Thai Me Up),3.87,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_219457.jpg",WYOMING,3,99,Imperial IPA,Melvin Shaolin Brew IPA,10.5%,315,4.09/5.0,55,
117,98,Melvin Brewing Company (Thai Me Up),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_130122.jpg",WYOMING,2,99,Imperial IPA,Melvin 2x4,9.9%,297,/,98,"Dear (insert your name here), This is the best damn DIPA in the world. So if you were even considering sulking today, think again. Our 2x4 Double IPA is the Gold Winner at WBC, GABF, NABA, and the Alpha King Championship; two years in a row. Lets just say, you’d be crazy not to drink this. So close your eyes, open up, and experience the mad floral, citrusy, and clean taste of hop talent. If you don’t love it, no...... you will."
19,98,Snake River Brewing Co.,3.92,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_272118.jpg",WYOMING,1,99,Sour/Wild Ale,Snake River Le Serpent Framboise,,18,4.11/5.0,,"Inspired by the Belgian sour ales of West Flanders, Le Serpent Framboise has a distinctive acidity and complexity.

It is brewed once a year in French oak barrels.

Fresh Oregon raspberries are added in July.

A mixed culture of ""wild"" organisms used for makes each batch truly unique. Le Serpent is hand bottled and available in very limited quantities. ENJOY

2012 = 6 cases bottled"
562,100,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_74630.jpg",WISCONSIN,24,99,Weizen Bock,New Glarus Dancing Man Wheat,7.2%,216,/,,If you dream of wheat this brew will get your toes tapping. Since 1995 we have brewed Bavarian style wheat beers exclusively for the same great state that grows and malts our own Wisconsin wheat. In a world full of posers this is a true hefe-weizen naturally 100% bottle fermented and hazy.
482,100,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_111480.jpg",WISCONSIN,23,99,Fruit Beer,New Glarus Thumbprint Series Cran-bic Ale,6%,180,/,,"""Some people paint, some sing, others write… I brew"". -Daniel Carey 

A few times a year we will cut Dan loose to brew whatever he chooses, uncensored, uncut, unplugged. Always handcrafted, the bottle you hold is brewed for the adventurous soul. This is a very limited edition and we make no promises to ever brew this style again. 

Sparkling and bright this is a Wisconsin original created for you in the traditional method employed by the Lambic Brewers of Belgium including five months of outdoor resting in oak barrels. Indigenous yeast and cranberries from the “wilds” of Wisconsin flawlessly pair to dance on your palette. You have discovered a rare and delightful treasure to be served cold in a fluted glass. 

Thanks for supporting the arts, 

Daniel and Deb Carey"
62,71,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_339847.jpg",WISCONSIN,22,99,Lambic Style - Gueuze,New Glarus R & D Vintage 2014,6%,180,/,8,"Sour blonde gueuze continuing our tradition of spontaneous fermentations.  Aged on oak a blend of 1, 2, and 3 year old beers. Complex citrus and horsey notes, fruity and farm aromas.

Added as a separate entry as the previous R&D Gueze was an unbended single batch."
862,89,Leinenkugel Brewing Company (Tenth & Blake - MillerCoors),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_78733.jpg",WISCONSIN,21,99,Imperial Stout,Leinenkugels Big Eddy Russian Imperial Stout,,50,/,,"The Big Eddy Russian Imperial Stout was brewed at Leinenkugel’s tiny 10th street brewery in Milwaukee. This brew boasts a selection of 11 malts and grains balanced by three different and distinct hops. Dark and complex, with chocolate tones and notes of dark fruits, it is daring yet delicious. Travels well. Ages well."
250,96,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_220138.jpg",WISCONSIN,20,99,Sour Red/Brown,New Glarus Thumbprint Series Wild Sour Ale,5%,150,/,,"Naturally soured by farm valley winds blowing wild yeast into our oak casks. Finally, after a year and a half of patient coaxing Wisconsin dark malts whirl in a kaleidoscope of cedar, caramel, and tart green plum exuberance. Available to the exclusive few who travel off the beaten paths, this is authentic Wisconsin sour brown ale. Truly unique this Sour Ale is brewed for those who live on the wild side and is suitable for laying down or consuming immediately, serve at 40-45 degrees F."
287,97,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_270013.jpg",WISCONSIN,19,99,Imperial IPA,New Glarus Thumbprint Series Scream IIPA,,85,/,,"Scream pierces reality, effortlessly slicing our sky, He flies over the Brewery just as Abe circled over Wisconsin’s 8th Infantry during the Civil War. He calls us to something bigger. Scream boasts an inspired 85 IBUs that reverberate cleanly though this IIPA. New Glarus Brewery grown estate hops join other Wisconsin grown hops to dominate this brew from Kettle Boil to Dry Hopping. You hold a deceptively seductive Original Gravity of 20.9 degrees Plato following the always 100% naturally bottle conditioned fermentation. Luscious Wisconsin grown and malted barley along with English Maris Otter malt is the bold heart of this lustful sensory enchantment. Surrender is inevitable so enjoy today."
9,,Brenner Brewing Company,3.88,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_340992.jpg",WISCONSIN,18,99,Imperial Stout,Brenner Witchcraft Imperial Stout,,70,4.28/5.0,,"With the warmth behind us, and cold ahead, the inaugural batch of Witchcraft was brewed under the harvest moon of 2014. This beer prepares you for the annual descent into darkness. Nine malt varieties, molasses, honey, and Anodyne coffee. Aged for one year in bourbon barrels and virgin Missouri oak barrels. The result is nothing short of perfection."
162,99,Central Waters Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_63097.jpg",WISCONSIN,17,99,Scotch Ale,Central Waters Brewer’s Reserve Bourbon Barrel Scotch Ale,,,/,,"This rich, malty ale has been aged to perfection in our barrel house. Subtle and smooth, this is a decadent display of patience and process. Join us in a toast to good health. Slainte!"
246,98,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_141421.jpg",WISCONSIN,16,99,Imperial IPA,New Glarus Thumbprint Series IIPA,,85,/,,"A few times a year we cut Dan loose to brew whatever he choose. Always handcrafted, the bottle you hold is brewed for the adventurous soul. This is a very limited edition and we make no promises to ever brew this style again. A provocative 85 IBUs reverberates cleanly through this Double IPA. True hop saturation from kettle boil to dry hop cellaring dominates this elegant and lustful sensory enchantment. You hold  a deceptively seductive Original Gravity of 19.2 Plato, now 9% ABV following the always 100% natural bottle fermentation. Luscious English Maris Otter malt is the essential heart of this voluptuous double IPA. Surrender is inevitable so enjoy now."
56,90,Central Waters Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_235587.jpg",WISCONSIN,15,99,Imperial Stout,Central Waters Black Gold,11%,330,/,,Central Waters 1414 Imperial Stout aged in bourbon barrels for 35 months. Limited release of 400 bottles.
23,90,Central Waters Brewing Co.,3.89,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_388638.jpg",WISCONSIN,14,99,Imperial Stout,Central Waters 18 Anniversary Edition,11.5%,345,4.05/5.0,,
533,98,Central Waters Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_63095.jpg",WISCONSIN,13,99,Barley Wine,Central Waters Brewer’s Reserve Bourbon Barrel Barleywine,11.2%,336,/,,"Flavors of bourbon, malt, and hops meld quite good"
713,92,Central Waters Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_34746.jpg",WISCONSIN,12,99,Imperial Stout,Central Waters Brewer’s Reserve Bourbon Barrel Stout,9.5%,285,/,,"The ""Brewer’s Reserve"" label is used only for limited edition beers.  No time or expense was spared to create these beers!  This is a good expression of our passion for brewing -- Cheers!"
26,93,Funk Factory Geuzeria,3.91,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_311801.jpg",WISCONSIN,11,99,Lambic Style - Fruit,Funk Factory Geuzeria / Oso Framrood,,,4.05/5.0,165,Framrood is a blend of lambic style beer that was aged in used French oak wine barrels for 18 to 24 months. It was then re-fermended with two pounds per gallon of red raspberries for three months.
472,98,Tyranena Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_69404.jpg",WISCONSIN,10,99,Imperial Porter,Tyranena BGW The Devil Made Me Do It,7.5%,225,/,,A big ol’ black beer with oatmeal silkiness. Full bodied with soothingly rich coffee flavors. Devilishly delicious. Classified as an Imperial Oatmeal Coffee Porter
186,99,Tyranena Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_56963.jpg",WISCONSIN,9,100,Imperial Porter,Tyranena BGW Whos Your Daddy? Bourbon Barrel-Aged Imperial Porter,8%,240,/,,"Midnight Black, big,rich and semi-sweet, dark malts,yield coffee,carmel and toffee flavors. Barrel aging-adds vanilla,toasted oak and hazelnut. mmm,satisfying so ...Who’s your daddy now?"
91,96,Central Waters Brewing Co.,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_311751.jpg",WISCONSIN,8,100,Imperial Stout,Central Waters 17 Anniversary Edition,11.5%,345,/,,
349,99,Tyranena Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_86214.jpg",WISCONSIN,7,100,Imperial Porter,Tyranena BGW Devil Over A Barrel,8%,240,/,,Imperial Oatmeal Porter brewed with coffee beans and aged in bourbon barrels
1280,100,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_7686.jpg",WISCONSIN,6,100,Fruit Beer,New Glarus Raspberry Tart,,,/,120,"The voluminous raspberry bouquet will greet you long before your lips touch your glass. Serve this Wisconsin framboise very cold in a champagne flute. Then hold your glass to a light and enjoy the jewel-like sparkle of a very special ale.

Oregon proudly shares their harvest of mouth-watering berries, which we ferment spontaneously in large oak vats.

Then we employ Wisconsin farmed wheat and year old Hallertau hops to round out this extravaganza of flavor."
103,99,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_279308.jpg",WISCONSIN,5,100,Sour Red/Brown,New Glarus R & D Wild Peach,,11,/,,"2014 Great Taste of the Midwest Release - Sour brown ale with Michigan peaches. Spontaneous fermentation aged on oak. Blended with one, two and three-year old beer. Oak, leathery and horsey notes with hints of bourbon. Complex quenching, sour ale."
590,100,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_187518.jpg",WISCONSIN,4,100,Fruit Beer,New Glarus Serendipity,5.1%,153,/,,"Happy Accident Fruit Ale

Severe Drought, we shared the farmer’s horror as Wisconsin’s cherry crop failed! Dan bought what cherries he could. The apple crop fared better. Then joy! A grand Wisconsin cranberry harvest. What will Dan brew with Apples, Cranberries and Cherries? Oh my! You hold the happy accident of Wisconsin’s favorite fruit aged in oak with an almost magical wild fermentation. Serendipity is a wondrous celebration that sparkles your senses and dances across your palate. A kaleidoscope of flavors discovered by accident in a sour ale! Cheers to the unexpected. Vielen Dank!"
25,98,Funk Factory Geuzeria,4.07,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_368043.jpg",WISCONSIN,3,100,Lambic Style - Fruit,Funk Factory Geuzeria / Oso Frampaars,,,4.28/5.0,165,Frampaars is a blend of lambic style beer that was aged in used French oak wine barrels for 18 to 24 months. It was then re-fermended with two pounds per gallon of purple raspberries for three months.
1520,100,New Glarus Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_7688.jpg",WISCONSIN,2,100,Fruit Beer,New Glarus Wisconsin Belgian Red,,,/,120,Originally 5.1% - abv reduced to 4% sometime between 2009 and 2011.
11,99,Central Waters Brewing Co.,4.15,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_419849.jpg",WISCONSIN,1,100,Imperial Stout,Central Waters Ardea Insignis Imperial Stout,12%,360,4.56/5.0,,"The rarest heron in the world. Also the name of the rarest barrel aged beer we have ever made and bottled. An imperial stout aged for over 3 years in 25 year old bourbon barrels. We have never done it before, and may never again."
12,66,Bridge Brew Works,3.13,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_128963.jpg",WEST VIRGINIA,24,52,Schwarzbier,Bridge Brew Works Black Diamond Lager,,,3.33/5.0,150,"This dark German lager has a rich deep burnt red color accompanied by raisin, caramel, and roasted malt flavors ending in a balanced semi-dry finish with Noble hops."
11,18,Lost River Brewing Company,3.21,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_200376.jpg",WEST VIRGINIA,23,52,Black IPA,Lost River Black Ale,,,3.31/5.0,188,
9,,Mountain Dragon Mazery,3.23,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_262752.jpg",WEST VIRGINIA,22,56,Mead,Mountain Dragon Tulip Poplar Honey Mead,,,3.36/5.0,291,"Tulip poplar honey is dark and sweet with a reddish tinge. The mead finishes with a beautiful color and character, showcasing this classic West Virginia honey."
